FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,Payments to non-profit organizations to develop national or provincial/territorial/regional educational and awareness activities to help reduce the incidence of elder abuse and fraud,Paiements aux organismes sans but lucratif pour mettre au point des activités d'éducation et de sensibilisation de portée nationale ou provinciale/territoriale/régionale afin de réduire l'incidence de la violence et de la fraude à l'égard des aînés,Collingwood & District Information Centre,Collingwood & District Information Centre,Collingwood,Collingwood,Ontario,Ontario,,,0,116670
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Contributions to address the legacy of residential schools,Contributions visant à aborder l'héritage des pensionnats indiens,Mikisew Cree First Nation Band,Mikisew Cree First Nation Band,Fort Chipewyan,Fort Chipewyan,Alberta,Alberta,,,0,578490
2023/2024,22,Transport,Transports,034,Department of Transport,Ministère des Transports,National Trade Corridors Fund,Fonds national des corridors commerciaux,City of Calgary,Ville de Calgary,Calgary,Calgary,Alberta,Alberta,,,0,5000000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,"Contributions to provide children, youth, young adults, families and communities with prevention and protection services","Contributions visant à offrir des services de protection et de prévention aux enfants, aux jeunes, aux jeunes adultes, aux familles et aux communautés",Ucluelet First Nation,Ucluelet First Nation,Ucluelet,Ucluelet,British Columbia,Colombie-Britannique,,,0,251983
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support First Nations Elementary and Secondary Educational Advancement,Contributions pour favoriser l'essor du régime d'éducation primaire et secondaire des Premières Nations,Wahgoshig First Nation,Wahgoshig First Nation,Matheson,Matheson,Ontario,Ontario,,,0,127982
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support the construction and maintenance of community infrastructure,Contributions pour appuyer la construction et l'entretien des infrastructures communautaires,Black River First Nation,Black River First Nation,O'Hanley,O'Hanley,Manitoba,Manitoba,,,0,3201165
2023/2024,8,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Contributions in Support of the Integrated Fish and Seafood Sector Management Framework,Contributions à l'appui du cadre de gestion intégrée pour les programmes du secteur des produits de la pêche,University of Victoria,University of Victoria,Victoria,Victoria,British Columbia,Colombie-Britannique,,,0,253980
2023/2024,26,Economic development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Contributions under the Regional Economic Growth through Innovation,Contributions en vertu du programme Croissance économique régionale par l'innovation,MuraLuxe Inc,MuraLuxe Inc,Trois-Rivières,Trois-Rivières,Quebec,Québec,,,0,184624
2023/2024,11,Health,Santé,136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,"(S) Compensation payments in accordance with requirements established by regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",(S) Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments,A & M  Poultry Farms Ltd,A & M  Poultry Farms Ltd,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,,,0,500000
2023/2024,5,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",050,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,Settlement Program,Programme d'établissement,Cariboo-Chilcotin Partners for Literacy Society,Cariboo-Chilcotin Partners for Literacy Society,Williams Lake,Williams Lake,British Columbia,Colombie-Britannique,,,0,248201
